livro,Capítulo,Verso inicial,Verso final,Obra,Capítulo,Tipo de Referência,Citação
Mateus,5,9,9,Alegria de Viver,6 - A força de Deus,Epígrafe,"Bem-aventurados os pacificadores, porque eles serão chamados de filhos de Deus."
Mateus,5,9,9,Rejubila-te em Deus, 20 – Convulsões morais,Indireta,"Na montanha, Jesus tornou bem-aventurados os mansos e pacíficos e humildes, elegendo-os como filhos de Deus."
Mateus,5,9,9,Jesus e o Evangelho à luz da Psicologia...,10 - A paciência,Epígrafe,"Bem-aventurados os pacificadores, porque eles serão chamados de filhos de Deus."
Mateus,5,9,9,Rumos Libertadores,20 - Injúrias e violências,Epígrafe e ao final,"Bem-aventurados os pacificadores, porque eles serão chamados de filhos de Deus."
Mateus,6,19,19,Sol de Esperança,31 - Fortunas de Amor,Direta sem indexação do NT,"Esteja o teu coração onde se encontrem os valiosos tesouros de amor que ""traça não roi, a ferrugem não consome nem os ladrões roubam."""
Lucas,3,17,17,Jesus e o Evangelho à luz da Psicologia...,10 - A paciência,Direta,"Pacientemente aceitou a observação do Batista que O testificou após o fenômeno da Voz espiritual que se fez ouvida, informando ser este o Filho dileto, em que me agrado, confirmando a independência entre o Pai o Descendente. "
João,1,18,18,Jesus e o Evangelho à luz da Psicologia...,10 - A paciência,Direta,Ninguém jamais viu a Deus
João,5,8,10,Plenitude,IX - Processo de auto cura,Direta sem indexação do NT,"""se quiseres, já que queres, concluindo: Levanta-te e anda, vê, sê limpo conforme a enfermidade que se faziam objeto. "
João,8,12,12,Sol de Esperança,41 - Luz do Mundo (tradução),Epígrafe,"""Eu sou a luz do mundo"""
Atos,3,6,6,Psicologia da Gratidão,10 - Técnicas da gratidão,Direta com indexação do NT,"E disse Pedro: Não tenho prata nem ouro; mas o que tenho isso te dou. Em nome de Jesus Cristo, o Nazareno, levanta-te e anda."
Atos,5,15,15,Psicologia da Gratidão,10 - Técnicas da gratidão,Direta com indexação do NT,"15 De sorte que transportavam os enfermos para as ruas, e os punham em leitos e em camilhas para que ao menos a sombra de Pedro, quando este passasse, cobrisse alguns deles."
