livro,Capítulo,Verso inicial,Verso final,Obra,Capítulo,Tipo de Referência,Citação,
Daniel,5,1,10,Jesus e Vida,6 - Mandato Mediúnico,Indireta,,
Deuteronômio,14,2,2,O amor como solução,30 - Paz na Terra,Indireta,O povo escolhido estava muito cheio de si...,
Deuteronômio,18,13,13,Vidas Vazias,17 - Bençãos da Imortalidade,Direta sem indexação do AT,"Jesus afirmou com sabedoria: “Sede perfeitos, como o Pai é perfeito”, estabelecendo ser Ele o caminho que se deveria percorrer para alcançar o êxito.",
Eclesiastes,2,4,11,Alerta,55 - Gozo e felicidade,Indireta,,
Eclesiastes,2,4,11,Estudos Espíritas,17 - Felicidade,Indireta,,
Eclesiastes,3,1,8,Libertação do Sofrimento,27 - Relacionamentos espirituais,Indireta,,
Eclesiastes,11,9,10,Adolescência e Vida,Adolescência e Vida (Prefácio),Direta com indexação do AT,,
Êxodo,2,10,11,Jesus e Vida,25 - Culto lamentável,Direta sem indexação do AT,,
Êxodo,3,1,4,Jesus e Vida,6- Mandato Mediúnico,Indireta,,
Êxodo,12,1,36,O amor como solução,7 - Libertação,Indireta,"Antes de Moisés, no período nômade, quando eram constituídas as doze tribos, a Páscoa era...",
Êxodo,12,37,51,O amor como solução,7 - Libertação,Indireta,"A Páscoa judaica refere-se a essa conquista, quando o povo hebreu, ao comando de Moisés...",
Êxodo,20,2,17,Luz nas Trevas,6 - A Benção do silencio,Indireta,"No deserto, Moisés pôde reflexionar profundamente a respeito da missão de conduzir o seu povo à Terra Prometida. E foi numa montanha deserta, longe do bulício humano que recebeu o Decálogo.",
Êxodo,20,2,17,Tesouros Libertadores,7 - Justiças e amor,Direta sem indexação do AT,"Moisés, através do Décalogo, fixando-se de alguma forma na lei de Talião, refunde-a, limitando a justiça ao nível da ofensa, à cobrança legal de acordo com o delito perpretado: olho por olho, dente por dente. ",
Êxodo,20,2,17,Estudos Espíritas,10 - Lei,Indireta,,
Êxodo,20,4,4,Dimensões da Verdade,46 - Fanatismo e idolatria,Indireta,,
Êxodo,20,12,12,Após a Tempestade,5 - Filhos ingratos,Direta sem indexação do AT,,
Êxodo,20,12,12,Constelação Familiar,3 - Os genitores,Indireta,,
Êxodo,20,12,12,Jesus e o Evangelho à luz da Psicologia...,20 - Amor filial,Direta com indexação do AT,,
Êxodo,20,4,4,Dimensões da Verdade,46 - Fanatismo e Idolatria,Direta sem indexação do NT,"""Não esculpireis imanges para adorá-las""",
Êxodo,33,14,14,Alegria de Viver,6 - A força de Deus,Indireta,A força de Deus está contigo sempre e te dará descanso,
Gênesis,1,26,26,Amor. Imbatível Amor,14 - Dualidade do bem e do mal,Indireta,,
Gênesis,1,26,26,Autodescobrimento,12 - Triunfo sobre o ego ; libertação pessoal,Indireta,,
Gênesis,1,26,26,Libertação do Sofrimento,19 - Automatismo do bem,Indireta,,
Gênesis,1-2,-,-,Libertação do Sofrimento,3 - A crença em Deus,Direta com indexação do AT,,
Gênesis,2,8,8,O Homem Integral,"2 - Estranhos rumos, seguros roteiros",Indireta,"O ""perdido"" Jardim do Éden",
Gênesis,2,17,17,Em Busca da Verdade,8 - A busca do significado ; o bem e o mal,Indireta,,
Gênesis,3,1,24,O Ser Consciente,39 - A conquista de si mesmo,Indireta,,
Gênesis,3,4,4,Constelação Familiar,15 - Educação sexual,Indireta,,
Gênesis,3,6,13,Em Busca da Verdade,5 - Conviver e ser ; a coragem de prosseguir em qualquer circunstância,Indireta,,
Gênesis,3,23,24,Em Busca da Verdade,4 - Experiências de iluminação,Indireta,,
Gênesis,4,3,17,Constelação Familiar,5 - Os irmãos entre si,Indireta,,
Gênesis,4,23,24,Tesouros Libertatores,7 - Justiça e Amor,Direta com indexação do AT,"Podemos ler em Lameque, no capítulo 4, versículos 23 e 24, a triste conceituação de justiça exarada na vingança ilimitada",
Gênesis,28,11,19,No Limiar do Infinito,2 - Ante o Cosmo,Indireta,,
Gênesis,28,12,12,Iluminação Interior,20 - Laços de família,Indireta,,
Gênesis,28,12,12,Tesouros Libertatores,3 - Canção da imortalidade,Direta sem indexação do AT,"A importalidade é, portanto, a meta a atingir através das sucessivas reencarnações, que são os diferentes degraus a conquistar, na simbologia da bíblica escada de Jacó que conduz ao infinito. ",
Isaias,14,12,12,O Ser Consciente,22 - O bem e o mal,indireta,,
Isaias,45,1,4,Tesouros libertadores,5 - Reino de Deus,indireta,Ele enviaria o Messias que os libertaria de qualquer jugo e lhes concederia a plenitude.,
Jeremias,5,11,11,Luz nas Trevas,19 - Glória incomum,Indireta,"Cumpriu o programa que desenhara para a Sua vilegiatura e, no momento exato, foi traído, negado e assassinado covardemente.",
